,Word,Times_Used
9133,yet,8
9132,secretary,8
9131,refusing,8
9130,"hillary,",8
9129,$1,8
9128,voted,8
9127,voter,8
9126,class,8
9125,move,8
9124,terrorists,8
9123,set,8
9122,understands,8
9121,great.,8
9120,"it,",8
9119,full,8
9118,leadership,8
9117,isis.,8
9116,"it.""",8
9115,su,8
9114,tear,8
9113,senate,8
9112,easy,8
9111,planned,8
9110,episode,8
9109,letter,8
9108,brought,8
9107,@rosenbergerlm:,7
9106,"this,",7
9105,registration,7
9104,unlike,7
9103,anywhere,7
9102,rally,7
9101,refuses,7
9100,refused,7
9099,lower,7
9098,"debate,",7
9097,systemic,7
9096,politics,7
9095,highest,7
9094,name,7
9093,he'd,7
9092,speaks,7
9091,sued,7
9090,gave,7
9089,social,7
9088,poverty.,7
9087,news,7
9086,especially,7
9085,👈,7
9084,change.,7
9083,street,7
9082,commander-in-chief,7
9081,add,7
9080,"work,",7
9079,home.,7
9078,proposal,7
9077,"business,",7
9076,mate,7
9075,t…,7
9074,"says,",7
9073,birther,7
9072,giving,7
9071,putting,7
9070,forward,7
9069,“she,7
9068,hate.,7
9067,protecting,7
9066,how:,7
9065,bill,7
9064,treated,7
9063,wage.,7
9062,@hillaryforva:,7
9061,wages,7
9060,benefits,7
9059,insurance,7
9058,colleges,7
9057,mom,7
9056,solve,7
9055,divisive,7
9054,wonder,7
9053,alone.,7
9052,conspiracy,7
9051,killed,7
9050,everybody,7
9049,who’s,7
9048,finally,7
9047,commit,7
9046,human,7
9045,he'll,7
9044,opportunity,7
9043,path,7
9042,america’s,7
9041,debt.,7
9040,together.”,7
9039,girls,7
9038,is.,7
9037,@hillaryclinton's,7
9036,mean,7
9035,rhetoric,7
9034,@flotus,7
9033,here’s,7
9032,whose,7
9031,up.,7
9030,insults,7
9029,north,7
9028,well,7
9027,career,7
9026,hands,7
9025,security.,7
9024,step,7
9023,"""our",7
9022,good-paying,7
9021,lie,7
9020,https://t.co…,7
9019,listening,7
9018,—tim,7
9017,true,7
9016,others.,7
9015,worth,7
9014,housing,7
9013,bigotry,7
9012,"us.""",7
9011,@potus.,7
9010,@nytimes:,7
9009,ties,7
9008,high,7
9007,doubt,7
9006,led,7
9005,concerned,7
9004,line,7
9003,anything,7
9002,comprehensive,7
9001,deport,7
9000,fund,7
8999,found,7
8998,"great,",7
8997,"never,",7
8996,plan.,7
8995,biden,7
8994,plan:,7
8993,via,7
8992,pick,7
8991,investment,7
8990,@realdonaldtrump.,7
8989,act,7
8988,power,7
8987,vote.”,7
8986,situation,7
8985,#demconvention,7
8984,@timkaine.,7
8983,address,7
8982,son,7
8981,possible,7
8980,came,7
8979,donald.,7
8978,"boo,",6
8977,incredible,6
8976,h…,6
8975,wage,6
8974,platform,6
8973,watching,6
8972,thousands,6
8971,combat,6
8970,supports,6
8969,choose,6
8968,@whitehouse:,6
8967,“a,6
8966,whom,6
8965,became,6
8964,wrote,6
8963,alicia,6
8962,night.,6
8961,leading,6
8960,—@chelseaclinton,6
8959,known,6
8958,@berniesanders,6
8957,deeply,6
8956,obama’s,6
8955,worst,6
8954,everyone.,6
8953,treat,6
8952,determine,6
8951,reminder,6
8950,"""my",6
8949,picture,6
8948,fought,6
8947,undocumented,6
8946,spread,6
8945,"progress,",6
8944,countries,6
8943,#alsmithdinner,6
8942,wanted,6
8941,celebrating,6
8940,iowa,6
8939,"""as",6
8938,actual,6
8937,@clintonfdn,6
8936,—@nytimes,6
8935,values.,6
8934,including,6
8933,calling,6
8932,loved,6
8931,hampshire,6
8930,democracy,6
8929,high.,6
8928,praise,6
8927,"families.""",6
8926,eliminate,6
8925,ourselves,6
8924,bin,6
8923,full-time,6
8922,"family,",6
8921,members,6
8920,21,6
8919,"mother,",6
8918,"really,",6
8917,out.,6
8916,mark,6
8915,clinton.,6
8914,question,6
8913,claim,6
8912,here.,6
8911,died,6
8910,"low,",6
8909,hardworking,6
8908,una,6
8907,"history.""",6
8906,earn,6
8905,"is,",6
8904,side,6
8903,"down,",6
8902,stiffing,6
8901,10%,6
8900,"me,",6
8899,force,6
8898,"friend,",6
8897,signed,6
8896,washington,6
8895,cleveland,6
8894,kick,6
8893,count,6
8892,based,6
8891,aren’t,6
8890,@jorge_silva:,6
8889,agenda,6
8888,speech.,6
8887,started,6
8886,products,6
8885,ryan,6
8884,@elizabethforma:,6
8883,used,6
8882,probably,6
8881,“if,6
8880,“in,6
8879,moments,6
8878,officers,6
8877,reason,6
8876,held,6
8875,inspired,6
8874,lies,6
8873,half,6
8872,she'll,6
8871,con,6
8870,electing,6
8869,people's,6
8868,election.”,6
8867,"campaign,",6
8866,word,6
8865,officially,6
8864,official,6
8863,vs.,6
8862,literally,6
8861,ballot,6
8860,five,6
8859,ohio,6
8858,taken,6
8857,2016,6
8856,involved,6
8855,women’s,6
8854,they've,6
8853,zika,6
8852,@thedemocrats:,6
8851,"democracy,",6
8850,country.”,6
8849,champion,6
8848,pass,6
8847,pence:,6
8846,favorite,6
8845,racial,6
8844,man.,6
8843,along,6
8842,prevent,6
8841,muslims,6
8840,role,6
8839,proven,6
8838,proved,6
8837,offer,6
8836,"taxes,",6
8835,ideas,6
8834,top.,6
8833,union,6
8832,feeling,6
8831,trillion,6
8830,financial,6
8829,hurt,6
8828,second,6
8827,her.,6
8826,incredibly,5
8825,sick,5
8824,ruline,5
8823,fired,5
8822,miami,5
8821,#demconvention:,5
8820,joe,5
8819,“hillary,5
8818,"us,",5
8817,states.”,5
8816,backs,5
8815,raising,5
8814,twitter,5
8813,"people.""",5
8812,millions.,5
8811,reasons,5
8810,creating,5
8809,unions,5
8808,klux,5
8807,outstanding,5
8806,cost,5
8805,fallen,5
8804,generation,5
8803,communities,5
8802,court,5
8801,glad,5
8800,@elizabethforma,5
8799,list,5
8798,invest,5
8797,"can,",5
8796,trash,5
8795,racism,5
8794,legal,5
8793,it.”,5
8792,seems,5
8791,life:,5
8790,peaceful,5
8789,@demconvention,5
8788,gives,5
8787,endorsement,5
8786,death,5
8785,say:,5
8784,clinton’s,5
8783,charge,5
8782,nc,5
8781,50,5
8780,hearts,5
8779,criticized,5
8778,victory,5
8777,guarantee,5
8776,estate,5
8775,school,5
8774,pride,5
8773,created,5
8772,paris,5
8771,supreme,5
8770,thought,5
8769,"thanks,",5
8768,beat,5
8767,team.,5
8766,allies,5
8765,greater,5
8764,extreme,5
8763,others,5
8762,"other,",5
8761,planet,5
8760,lives.,5
8759,shape,5
8758,gay,5
8757,meeting,5
8756,"election,",5
8755,case,5
8754,"$125,000",5
8753,courage,5
8752,ku,5
8751,statement,5
8750,bullies,5
8749,compare,5
8748,del,5
8747,movement,5
8746,fall,5
8745,they’re,5
8744,dollar,5
8743,general,5
8742,deep,5
8741,9,5
8740,https://t.co/y0by1efhwl,5
8739,served,5
8738,accountable,5
8737,declared,5
8736,shot,5
8735,potential,5
8734,#demplatform,5
8733,16,5
8732,17,5
8731,girl,5
8730,tweets,5
8729,democrat,5
8728,stiffed,5
8727,parenthood,5
8726,deal,5
8725,dreams,5
8724,mexico,5
8723,basic,5
8722,"now,",5
8721,.@flotus,5
8720,ban,5
8719,"""america",5
8718,what’s,5
8717,down.,5
8716,the…,5
8715,supporters,5
8714,right.,5
8713,"yes,",5
8712,friend.,5
8711,ha,5
8710,stakes,5
8709,conduct,5
8708,wish,5
8707,#nobillnobreak,5
8706,quality,5
8705,completely,5
8704,time.,5
8703,"""everyone",5
8702,hurricane,5
8701,temperament,5
8700,russian,5
8699,game,5
8698,march,5
8697,rights.,5
8696,feels,5
8695,#lovetrumpshate,5
8694,prejudice,5
8693,khan,5
8692,ahead,5
8691,--,5
8690,happening,5
8689,pence's,5
8688,thinking,5
8687,care.,5
8686,cares,5
8685,elected,5
8684,truly,5
8683,shows,5
8682,opened,5
8681,es,5
8680,"birthday,",5
8679,#nationalvoterregistrationday,5
8678,serving,5
8677,future.,5
8676,bankrupt,5
8675,"you.""",5
8674,superpower,5
8673,welcome,5
8672,test,5
8671,stake,5
8670,same.,5
8669,"""let’s",5
8668,board,5
8667,@repjohnlewis:,5
8666,thanks,5
8665,"plans,",5
8664,nasty,5
8663,john,5
8662,americans',5
8661,@cnnpolitics:,5
8660,trusted,5
8659,insult,5
8658,reckless,5
8657,hiding,5
8656,—@flotus:,5
8655,v.,5
8654,insulting,5
8653,you?,5
8652,latino,5
8651,steel,5
8650,perfect,5
8649,charity,5
8648,other.”,5
8647,attacking,5
8646,mexican,5
8645,@literally_trump:,5
8644,condemn,5
8643,hours,5
8642,"campaign.""",5
8641,"corporations,",5
8640,rest,5
8639,putin,5
8638,drive,5
8637,law.,5
8636,russia,5
8635,"""let",5
8634,year.,5
8633,"year,",5
8632,se,5
8631,abortion,5
8630,"hillary.""",5
8629,@gop,5
8628,'i,5
8627,“i’m,5
8626,bottom,5
8625,taxes.,5
8624,said.,5
8623,"said,",5
8622,"school,",5
8621,glass,5
8620,brings,5
8619,bringing,5
8618,"businesses,",4
8617,"republicans,",4
8616,this:,4
8615,funds,4
8614,promise,4
8613,universe,4
8612,press,4
8611,disagree,4
8610,difficult,4
8609,overturn,4
8608,painted,4
8607,decent,4
8606,walk,4
8605,ones,4
8604,me.”,4
8603,one:,4
8602,deny,4
8601,picked,4
8600,july,4
8599,respect.,4
8598,conversation,4
8597,practice,4
8596,"world,",4
8595,instead,4
8594,@potus's,4
8593,@dominiclowell:,4
8592,pushing,4
8591,you'd,4
8590,—warren,4
8589,problems,4
8588,philadelphia:,4
8587,hasn't,4
8586,hatred,4
8585,couldn’t,4
8584,advocate,4
8583,@hillaryforpa:,4
8582,behavior,4
8581,pa,4
8580,days.,4
8579,sold,4
8578,goes,4
8577,double,4
8576,hotel,4
8575,bigger,4
8574,somebody,4
8573,@timkaine's,4
8572,“he,4
8571,know.,4
8570,@washingtonpost:,4
8569,"debates,",4
8568,opportunities,4
8567,chinese,4
8566,strongly,4
8565,"""it's",4
8564,"temperament,",4
8563,accepted,4
8562,actions,4
8561,changing,4
8560,drives,4
8559,inclusive,4
8558,color,4
8557,@mpshapiro:,4
8556,people’s,4
8555,hands.,4
8554,mate.,4
8553,urge,4
8552,solutions.,4
8551,huge,4
8550,fourth,4
8549,chapter,4
8548,denied,4
8547,advantage,4
8546,leads,4
8545,roe,4
8544,https://t.co/pcbchoxpf9,4
8543,head,4
8542,efforts,4
8541,attacks,4
8540,trump.”,4
8539,catch,4
8538,"poverty,",4
8537,"new,",4
8536,progress.,4
8535,bait,4
8534,treats,4
8533,"her.""",4
8532,ran,4
8531,nominate,4
8530,go.,4
8529,@hillaryforfl:,4
8528,"""every",4
8527,mi,4
8526,phone,4
8525,launched,4
8524,tv,4
8523,century.,4
8522,rise,4
8521,40,4
8520,45,4
8519,shooting,4
8518,pay-to-play,4
8517,happen.,4
8516,introduced,4
8515,smart,4
8514,work.,4
8513,99.8%,4
8512,helped,4
8511,done.,4
8510,passing,4
8509,deliver,4
8508,alton,4
8507,you’ve,4
8506,"""can",4
8505,"families,",4
8504,arkansas,4
