,Word,Times_Used
9011,playing,6
9010,response,6
9009,landed,6
9008,"crime,",6
9007,public,6
9006,groups,6
9005,ratings.,6
9004,syrian,6
9003,wasn't,6
9002,morning!,6
9001,broken,6
9000,"wife,",6
8999,border.,6
8998,killing,6
8997,across,6
8996,cbs,6
8995,media.,6
8994,12,6
8993,michigan!,6
8992,democrat,6
8991,afternoon,6
8990,gov.,6
8989,points,6
8988,weakness,6
8987,room,6
8986,correct,6
8985,additional,6
8984,historic,6
8983,nation,6
8982,"
video:",6
8981,wikileaks,6
8980,ryan,6
8979,more.,6
8978,telling,6
8977,registered,6
8976,seeing,6
8975,iowa!,6
8974,wouldn't,6
8973,calling,6
8972,st.,6
8971,ask,6
8970,robert,6
8969,referred,6
8968,actually,6
8967,ahead,6
8966,start,6
8965,indiana.,6
8964,african-american,6
8963,quick,6
8962,notice,6
8961,veteran,6
8960,"show,",6
8959,write,6
8958,exciting!,6
8957,post,6
8956,"tampa,",6
8955,attacked,6
8954,unable,6
8953,secretary,6
8952,texas!,6
8951,"#trumptrain""",6
8950,"cleveland,",6
8949,problem,6
8948,5,6
8947,vp,6
8946,"@cnn,",6
8945,#scprimary,6
8944,owned,6
8943,2016,6
8942,continues,6
8941,thugs,6
8940,e-mails,6
8939,line,6
8938,@morningmika,6
8937,fire,6
8936,cover,6
8935,sometimes,6
8934,first!,6
8933,state.,6
8932,stated,6
8931,one-sided,6
8930,@realdonaldtrump.,6
8929,thinks,6
8928,rest,6
8927,putin,6
8926,poll-,6
8925,poll:,6
8924,@greta,6
8923,divided,6
8922,along,6
8921,tickets:,6
8920,statements,6
8919,raised,6
8918,old,6
8917,campaigning,6
8916,7pm.,6
8915,7pm!,6
8914,r,6
8913,service,6
8912,foundation,6
8911,wins,6
8910,georgia!,6
8909,brexit,6
8908,second,6
8907,---,5
8906,i've,5
8905,registration,5
8904,leader,5
8903,crooked's,5
8902,fun!,5
8901,april,5
8900,opening,5
8899,true!,5
8898,support.,5
8897,yesterday.,5
8896,"crowd,",5
8895,patrol,5
8894,problems,5
8893,problem!,5
8892,@ivankatrump,5
8891,"eric,",5
8890,"women,",5
8889,anybody,5
8888,"people,",5
8887,rid,5
8886,10pme,5
8885,corruption,5
8884,"#maga
tickets:",5
8883,lyin’,5
8882,@washingtonpost,5
8881,"funny,",5
8880,evangelicals,5
8879,"tough,",5
8878,strongly,5
8877,except,5
8876,week,5
8875,events,5
8874,caucus,5
8873,returns,5
8872,term,5
8871,"phoenix,",5
8870,.@timkaine,5
8869,leads,5
8868,ny,5
8867,endorsing,5
8866,deleted,5
8865,greatest,5
8864,countries,5
8863,announce,5
8862,though,5
8861,world.,5
8860,"immigration,",5
8859,serve,5
8858,wanted,5
8857,"day,",5
8856,hillary’s,5
8855,history!,5
8854,path,5
8853,endorse,5
8852,leaders,5
8851,poorly,5
8850,news!,5
8849,chris,5
8848,🇺🇸,5
8847,work!,5
8846,thought,5
8845,done.,5
8844,dirty,5
8843,amazing!,5
8842,they're,5
8841,business.,5
8840,dallas,5
8839,defend,5
8838,10pm,5
8837,criminal,5
8836,"bernie,",5
8835,account,5
8834,chicago,5
8833,#draintheswamp!,5
8832,putting,5
8831,"""trump",5
8830,knock,5
8829,cut,5
8828,election.,5
8827,pm,5
8826,tuesday!,5
8825,isis.,5
8824,corrupt!,5
8823,majority,5
8822,gotten,5
8821,part,5
8820,reuters,5
8819,tweeting,5
8818,share,5
8817,nothing!,5
8816,disastrous,5
8815,difference,5
8814,represent,5
8813,starting,5
8812,"morning,",5
8811,out-,5
8810,#obamacare,5
8809,(who,5
8808,different,5
8807,media!,5
8806,"melania,",5
8805,especially,5
8804,clintons,5
8803,'donald,5
8802,16,5
8801,speaking,5
8800,@donaldjtrumpjr,5
8799,convention.,5
8798,council,5
8797,fl.,5
8796,wait,5
8795,fort,5
8794,landing,5
8793,lie!,5
8792,lied,5
8791,states.,5
8790,'trump,5
8789,unfair,5
8788,over.,5
8787,judgement.,5
8786,explain,5
8785,#nhprimary,5
8784,do.,5
8783,don’t,5
8782,"is,",5
8781,down.,5
8780,answer,5
8779,right.,5
8778,me-,5
8777,race.,5
8776,sorry,5
8775,better.,5
8774,education,5
8773,stories,5
8772,cleveland,5
8771,immediately,5
8770,@mike_pence:,5
8769,htt…,5
8768,probably,5
8767,winner,5
8766,"columbus,",5
8765,time!,5
8764,"time,",5
8763,|,5
8762,@jdickerson,5
8761,facebook,5
8760,temperament,5
8759,ballot,5
8758,heritage,5
8757,forget!,5
8756,march,5
8755,@mittromney,5
8754,lives,5
8753,here:,5
8752,years!,5
8751,"years,",5
8750,self-funding,5
8749,protecting,5
8748,held,5
8747,broke,5
8746,iran,5
8745,i'll,5
8744,"""donald",5
8743,poor,5
8742,fraud,5
8741,exciting,5
8740,conservative,5
8739,"ohio,",5
8738,touch,5
8737,"pocahontas,",5
8736,@abc,5
8735,terrific,5
8734,10:00,5
8733,impossible,5
8732,card,5
8731,nomination,5
8730,7pm,5
8729,supporting,5
8728,@reince,5
8727,@cnn.,5
8726,cost,5
8725,turns,5
8724,supported,5
8723,months,5
8722,tonight-,5
8721,born,5
8720,security,5
8719,virginia.,5
8718,"#trump2016
#supertuesday",5
8717,"#trump2016
tickets:",5
8716,strength,5
8715,texas.,5
8714,mayor,5
8713,tickets,5
8712,party.,5
8711,in.,5
8710,stage,5
8709,vs.,5
8708,amendment,5
8707,louisiana,5
8706,rhode,5
8705,"cruz,",5
8704,means,5
8703,face,5
8702,david,5
8701,chosen,5
8700,"@nytimes,",5
8699,standing,5
8698,try,5
8697,u.s.a.g.,5
8696,"romney,",5
8695,african-americans,5
8694,tpp,5
8693,found,5
8692,watch!,5
8691,#neverhillary,5
8690,returned,5
8689,@ivankatrump!,5
8688,fraudulent,5
8687,luck,5
8686,#votetrumpnv,5
8685,#votetrumpnh,5
8684,job!,5
8683,turnberry,5
8682,judgement!,5
8681,city,5
8680,anymore.,5
8679,amnesty,5
8678,course,5
8677,three,5
8676,behalf,5
8675,brilliant,5
8674,leave,5
8673,rolling,5
8672,eminent,5
8671,inside,5
8670,manufacturing,5
8669,"york,",5
8668,possible,5
8667,presidency,5
8666,life,5
8665,men,5
8664,release,5
8663,incredible.,5
8662,terror.,5
8661,departing,5
8660,doesn’t,5
8659,force,5
8658,at:,5
8657,financial,5
8656,her!,5
8655,wednesday,5
8654,incredibly,4
8653,horrific,4
8652,bosses,4
8651,guts,4
8650,unite,4
8649,#maga…,4
8648,commercials,4
8647,one.,4
8646,@trumpturnberry,4
8645,supports,4
8644,yesterday!,4
8643,networks,4
8642,failed.,4
8641,cities.,4
8640,narrative,4
8639,we're,4
8638,question,4
8637,lower,4
8636,rowanne,4
8635,supporters!,4
8634,strategy,4
8633,"there,",4
8632,"false,",4
8631,various,4
8630,bad.,4
8629,"night,",4
8628,8:30,4
8627,kind,4
8626,hotel,4
8625,threat,4
8624,"mexico,",4
8623,ginsburg,4
8622,"debate,",4
8621,nbc,4
8620,focus,4
8619,@nydailynews,4
8618,liar!,4
8617,"ads,",4
8616,ads.,4
8615,tower,4
8614,seems,4
8613,director,4
8612,matter,4
8611,amazing.,4
8610,reaction,4
8609,"wichita,",4
8608,#1,4
8607,miami,4
8606,gives,4
8605,lobbyists,4
8604,turn,4
8603,"""hillary",4
8602,america's,4
8601,name,4
8600,@anncoulter:,4
8599,devastated,4
8598,chance!,4
8597,exclusive,4
8596,emails.,4
8595,birthday,4
8594,wrong.,4
8593,pres,4
8592,msm,4
8591,serious,4
8590,nh,4
8589,mort,4
8588,civil,4
8587,overrated,4
8586,50,4
8585,"""i",4
8584,kentucky,4
8583,"poverty,",4
8582,"33,000",4
8581,criticized,4
8580,rallies.,4
8579,#2a,4
8578,driving,4
8577,chuck,4
8576,colorado!,4
8575,colorado.,4
8574,destroyed,4
8573,tampa,4
8572,"military,",4
8571,changed,4
8570,polls!,4
8569,smart!,4
8568,executive,4
8567,discredited,4
8566,"trump.""",4
8565,joke,4
8564,@melaniatrump,4
8563,atlantic,4
8562,phyllis,4
8561,fantastic!,4
8560,expected.,4
8559,"houston,",4
8558,#makeamericasafeagain,4
8557,loved,4
8556,@nytdavidbrooks,4
8555,la,4
8554,lines,4
8553,.@mike_pence,4
8552,nafta,4
8551,president?,4
8550,debbie,4
8549,@realdonaldtrump's,4
8548,endorsement.,4
8547,"e-mails,",4
8546,"15,000",4
8545,good.,4
8544,"good,",4
8543,decision,4
8542,replace!,4
8541,throughout,4
8540,leadership.,4
8539,@todayshow,4
8538,california-,4
8537,"experience,",4
8536,@erictrump,4
8535,@andersoncooper,4
8534,"also,",4
8533,easily,4
8532,viewers,4
8531,through,4
8530,nothing.,4
8529,#maga!,4
8528,bible,4
8527,speeches,4
8526,children,4
8525,legal,4
8524,#votetrumppence16,4
8523,server,4
8522,solve,4
8521,movement.,4
8520,nevada.,4
8519,#obamacarefail,4
8518,among,4
8517,enough,4
8516,nearly,4
8515,performance,4
8514,potential,4
8513,10,4
8512,effort,4
8511,elect,4
8510,here.,4
8509,finally,4
8508,premiums,4
8507,flying,4
8506,"ago,",4
8505,facts,4
8504,#icymi:,4
8503,obama.,4
8502,"obama,",4
8501,unleashed,4
8500,"presidency,",4
8499,fiction.,4
8498,brussels,4
8497,turning,4
8496,donors,4
8495,personal,4
8494,worth,4
8493,rights,4
8492,right:,4
8491,vast,4
8490,whose,4
8489,"better,",4
8488,stay,4
8487,star,4
8486,inner,4
8485,there!,4
8484,paper,4
8483,refugees,4
8482,nato,4
8481,speaker,4
8480,6pm!,4
8479,together.,4
8478,admit,4
8477,@newday,4
8476,horribly,4
8475,"vets,",4
8474,michigan,4
8473,based,4
8472,herself,4
8471,management,4
8470,hostile,4
8469,...,4
8468,time.,4
8467,@brithume,4
8466,potus,4
8465,pocahontas,4
8464,"reno,",4
8463,honor!,4
8462,politician.,4
8461,kansas,4
8460,b/c,4
8459,security.,4
8458,info,4
8457,properly,4
8456,himself,4
8455,showing,4
8454,ballots,4
8453,praying,4
8452,five,4
8451,mathematically,4
8450,whatever,4
8449,liked,4
8448,@marcorubio,4
8447,wasserman,4
8446,rigged!,4
8445,quote,4
8444,noon!,4
8443,charlotte,4
8442,issue,4
8441,system.,4
8440,system!,4
8439,haven't,4
8438,breitbart,4
8437,terribly,4
8436,pushed,4
8435,helped,4
8434,7,4
8433,mess!,4
8432,coverage,4
8431,ohio-,4
8430,thinking,4
8429,followers,4
8428,landslide,4
8427,editorial,4
8426,"nice,",4
8425,liberal,4
8424,couldn't,4
8423,talented,4
8422,"so,",4
8421,there’s,4
8420,show.,4
8419,year,4
8418,#lesm,4
8417,@jasondovesq,4
8416,southern,4
8415,"big,",4
8414,gun,4
8413,island!,4
8412,promised,4
8411,wasting,4
